y,ds,unique_id,index,TimesNet
215.0,2025-07-11 22:45:00,series_1,0,180.23772
214.0,2025-07-11 22:50:00,series_1,1,151.34352
203.0,2025-07-11 22:55:00,series_1,2,155.76468
196.0,2025-07-11 23:00:00,series_1,3,150.14189
200.0,2025-07-11 23:05:00,series_1,4,126.17624
189.0,2025-07-11 23:10:00,series_1,5,137.4138
168.0,2025-07-11 23:15:00,series_1,6,121.397095
148.0,2025-07-11 23:20:00,series_1,7,62.476074
148.0,2025-07-11 23:25:00,series_1,8,93.033966
128.0,2025-07-11 23:30:00,series_1,9,100.02522
119.0,2025-07-11 23:35:00,series_1,10,96.20889
114.0,2025-07-11 23:40:00,series_1,11,96.61017
111.0,2025-07-11 23:45:00,series_1,12,93.39966
112.0,2025-07-11 23:50:00,series_1,13,93.87378
103.0,2025-07-11 23:55:00,series_1,14,80.919525
99.0,2025-07-12 00:00:00,series_1,15,83.65143
93.0,2025-07-12 00:05:00,series_1,16,75.53476
89.0,2025-07-12 00:10:00,series_1,17,60.26413
79.0,2025-07-12 00:15:00,series_1,18,82.0712
80.0,2025-07-12 00:20:00,series_1,19,83.46829
78.0,2025-07-12 00:25:00,series_1,20,76.98813
77.0,2025-07-12 00:30:00,series_1,21,77.416534
67.0,2025-07-12 00:35:00,series_1,22,85.89084
68.0,2025-07-12 00:40:00,series_1,23,47.274353
71.0,2025-07-12 00:45:00,series_1,0,26.069366
67.0,2025-07-12 00:50:00,series_1,1,44.426575
63.0,2025-07-12 00:55:00,series_1,2,28.965973
61.0,2025-07-12 01:00:00,series_1,3,37.19214
65.0,2025-07-12 01:05:00,series_1,4,37.362366
88.0,2025-07-12 01:10:00,series_1,5,37.557007
69.0,2025-07-12 01:15:00,series_1,6,2.322052
58.0,2025-07-12 01:20:00,series_1,7,17.363892
56.0,2025-07-12 01:25:00,series_1,8,8.300873
55.0,2025-07-12 01:30:00,series_1,9,0.13973999
58.0,2025-07-12 01:35:00,series_1,10,23.521454
51.0,2025-07-12 01:40:00,series_1,11,22.751465
49.0,2025-07-12 01:45:00,series_1,12,47.645813
48.0,2025-07-12 01:50:00,series_1,13,25.46164
46.0,2025-07-12 01:55:00,series_1,14,28.867737
44.0,2025-07-12 02:00:00,series_1,15,49.008453
46.0,2025-07-12 02:05:00,series_1,16,125.82214
44.0,2025-07-12 02:10:00,series_1,17,100.4276
43.0,2025-07-12 02:15:00,series_1,18,50.234528
48.0,2025-07-12 02:20:00,series_1,19,104.85683
52.0,2025-07-12 02:25:00,series_1,20,56.49655
47.0,2025-07-12 02:30:00,series_1,21,88.502014
89.0,2025-07-12 02:35:00,series_1,22,70.81262
42.0,2025-07-12 02:40:00,series_1,23,56.80899
40.0,2025-07-12 02:45:00,series_1,0,4.685074
38.0,2025-07-12 02:50:00,series_1,1,3.6403046
37.0,2025-07-12 02:55:00,series_1,2,7.7427216
39.0,2025-07-12 03:00:00,series_1,3,17.621002
38.0,2025-07-12 03:05:00,series_1,4,9.033432
38.0,2025-07-12 03:10:00,series_1,5,32.07512
38.0,2025-07-12 03:15:00,series_1,6,-1.8032532
37.0,2025-07-12 03:20:00,series_1,7,-2.2754211
47.0,2025-07-12 03:25:00,series_1,8,7.726242
37.0,2025-07-12 03:30:00,series_1,9,7.421936
38.0,2025-07-12 03:35:00,series_1,10,13.030502
38.0,2025-07-12 03:40:00,series_1,11,15.4236145
41.0,2025-07-12 03:45:00,series_1,12,43.734528
46.0,2025-07-12 03:50:00,series_1,13,33.74379
48.0,2025-07-12 03:55:00,series_1,14,66.2198
40.0,2025-07-12 04:00:00,series_1,15,89.42586
44.0,2025-07-12 04:05:00,series_1,16,133.8512
48.0,2025-07-12 04:10:00,series_1,17,171.27039
49.0,2025-07-12 04:15:00,series_1,18,105.10947
45.0,2025-07-12 04:20:00,series_1,19,194.10971
41.0,2025-07-12 04:25:00,series_1,20,158.15048
39.0,2025-07-12 04:30:00,series_1,21,175.37602
43.0,2025-07-12 04:35:00,series_1,22,218.77065
43.0,2025-07-12 04:40:00,series_1,23,211.12213
42.0,2025-07-12 04:45:00,series_1,0,43.90394
43.0,2025-07-12 04:50:00,series_1,1,51.098534
47.0,2025-07-12 04:55:00,series_1,2,46.533604
69.0,2025-07-12 05:00:00,series_1,3,63.390938
55.0,2025-07-12 05:05:00,series_1,4,64.57857
62.0,2025-07-12 05:10:00,series_1,5,73.85115
73.0,2025-07-12 05:15:00,series_1,6,91.63886
79.0,2025-07-12 05:20:00,series_1,7,89.41958
73.0,2025-07-12 05:25:00,series_1,8,102.26862
85.0,2025-07-12 05:30:00,series_1,9,113.951675
102.0,2025-07-12 05:35:00,series_1,10,118.92558
130.0,2025-07-12 05:40:00,series_1,11,135.08179
129.0,2025-07-12 05:45:00,series_1,12,156.98611
129.0,2025-07-12 05:50:00,series_1,13,167.59653
148.0,2025-07-12 05:55:00,series_1,14,212.18254
153.0,2025-07-12 06:00:00,series_1,15,209.41803
164.0,2025-07-12 06:05:00,series_1,16,236.55376
184.0,2025-07-12 06:10:00,series_1,17,242.37854
181.0,2025-07-12 06:15:00,series_1,18,226.4506
187.0,2025-07-12 06:20:00,series_1,19,244.35571
187.0,2025-07-12 06:25:00,series_1,20,259.54282
201.0,2025-07-12 06:30:00,series_1,21,258.3277
191.0,2025-07-12 06:35:00,series_1,22,252.49214
187.0,2025-07-12 06:40:00,series_1,23,229.09868
193.0,2025-07-12 06:45:00,series_1,0,212.73953
209.0,2025-07-12 06:50:00,series_1,1,211.24792
214.0,2025-07-12 06:55:00,series_1,2,220.55484
232.0,2025-07-12 07:00:00,series_1,3,223.16144
227.0,2025-07-12 07:05:00,series_1,4,227.69327
225.0,2025-07-12 07:10:00,series_1,5,231.3599
224.0,2025-07-12 07:15:00,series_1,6,238.9076
226.0,2025-07-12 07:20:00,series_1,7,241.31818
219.0,2025-07-12 07:25:00,series_1,8,233.94214
225.0,2025-07-12 07:30:00,series_1,9,253.07858
224.0,2025-07-12 07:35:00,series_1,10,237.93616
217.0,2025-07-12 07:40:00,series_1,11,261.40247
205.0,2025-07-12 07:45:00,series_1,12,259.1602
203.0,2025-07-12 07:50:00,series_1,13,259.5527
203.0,2025-07-12 07:55:00,series_1,14,246.73914
220.0,2025-07-12 08:00:00,series_1,15,284.22015
206.0,2025-07-12 08:05:00,series_1,16,252.78613
186.0,2025-07-12 08:10:00,series_1,17,253.16205
197.0,2025-07-12 08:15:00,series_1,18,236.26859
182.0,2025-07-12 08:20:00,series_1,19,243.39468
186.0,2025-07-12 08:25:00,series_1,20,224.78906
209.0,2025-07-12 08:30:00,series_1,21,238.33664
193.0,2025-07-12 08:35:00,series_1,22,217.9783
204.0,2025-07-12 08:40:00,series_1,23,222.46136
213.0,2025-07-12 08:45:00,series_1,0,205.14099
199.0,2025-07-12 08:50:00,series_1,1,205.00574
203.0,2025-07-12 08:55:00,series_1,2,217.8097
209.0,2025-07-12 09:00:00,series_1,3,212.85959
198.0,2025-07-12 09:05:00,series_1,4,202.73021
212.0,2025-07-12 09:10:00,series_1,5,205.09024
229.0,2025-07-12 09:15:00,series_1,6,182.81458
194.0,2025-07-12 09:20:00,series_1,7,181.90169
191.0,2025-07-12 09:25:00,series_1,8,205.0903
187.0,2025-07-12 09:30:00,series_1,9,210.48026
199.0,2025-07-12 09:35:00,series_1,10,177.8306
199.0,2025-07-12 09:40:00,series_1,11,195.03577
197.0,2025-07-12 09:45:00,series_1,12,179.58536
203.0,2025-07-12 09:50:00,series_1,13,176.8692
212.0,2025-07-12 09:55:00,series_1,14,160.73886
222.0,2025-07-12 10:00:00,series_1,15,169.54279
231.0,2025-07-12 10:05:00,series_1,16,129.60553
220.0,2025-07-12 10:10:00,series_1,17,142.18808
214.0,2025-07-12 10:15:00,series_1,18,145.31114
222.0,2025-07-12 10:20:00,series_1,19,125.038216
216.0,2025-07-12 10:25:00,series_1,20,139.02943
219.0,2025-07-12 10:30:00,series_1,21,136.71701
265.0,2025-07-12 10:35:00,series_1,22,127.67228
255.0,2025-07-12 10:40:00,series_1,23,130.6989
259.0,2025-07-12 10:45:00,series_1,0,271.40045
247.0,2025-07-12 10:50:00,series_1,1,278.90277
241.0,2025-07-12 10:55:00,series_1,2,282.94983
230.0,2025-07-12 11:00:00,series_1,3,280.63617
230.0,2025-07-12 11:05:00,series_1,4,289.9305
260.0,2025-07-12 11:10:00,series_1,5,297.80237
248.0,2025-07-12 11:15:00,series_1,6,295.03894
258.0,2025-07-12 11:20:00,series_1,7,287.73312
263.0,2025-07-12 11:25:00,series_1,8,253.22423
252.0,2025-07-12 11:30:00,series_1,9,256.19745
240.0,2025-07-12 11:35:00,series_1,10,266.4438
264.0,2025-07-12 11:40:00,series_1,11,269.94775
275.0,2025-07-12 11:45:00,series_1,12,278.6229
273.0,2025-07-12 11:50:00,series_1,13,290.38113
263.0,2025-07-12 11:55:00,series_1,14,289.5518
275.0,2025-07-12 12:00:00,series_1,15,282.02438
275.0,2025-07-12 12:05:00,series_1,16,270.44598
304.0,2025-07-12 12:10:00,series_1,17,293.1864
308.0,2025-07-12 12:15:00,series_1,18,265.8438
301.0,2025-07-12 12:20:00,series_1,19,295.78928
294.0,2025-07-12 12:25:00,series_1,20,284.0746
312.0,2025-07-12 12:30:00,series_1,21,287.26196
296.0,2025-07-12 12:35:00,series_1,22,281.35916
301.0,2025-07-12 12:40:00,series_1,23,271.1589
283.0,2025-07-12 12:45:00,series_1,0,318.34808
286.0,2025-07-12 12:50:00,series_1,1,315.45035
288.0,2025-07-12 12:55:00,series_1,2,315.55695
326.0,2025-07-12 13:00:00,series_1,3,307.40985
293.0,2025-07-12 13:05:00,series_1,4,302.73923
290.0,2025-07-12 13:10:00,series_1,5,306.73053
297.0,2025-07-12 13:15:00,series_1,6,305.55695
277.0,2025-07-12 13:20:00,series_1,7,299.2751
288.0,2025-07-12 13:25:00,series_1,8,310.21063
282.0,2025-07-12 13:30:00,series_1,9,308.1953
272.0,2025-07-12 13:35:00,series_1,10,308.9503
281.0,2025-07-12 13:40:00,series_1,11,299.1572
267.0,2025-07-12 13:45:00,series_1,12,302.63123
275.0,2025-07-12 13:50:00,series_1,13,301.9135
278.0,2025-07-12 13:55:00,series_1,14,296.2446
289.0,2025-07-12 14:00:00,series_1,15,289.829
272.0,2025-07-12 14:05:00,series_1,16,279.15988
274.0,2025-07-12 14:10:00,series_1,17,273.19803
271.0,2025-07-12 14:15:00,series_1,18,268.98212
274.0,2025-07-12 14:20:00,series_1,19,264.1725
264.0,2025-07-12 14:25:00,series_1,20,250.21065
288.0,2025-07-12 14:30:00,series_1,21,255.76483
255.0,2025-07-12 14:35:00,series_1,22,244.72552
244.0,2025-07-12 14:40:00,series_1,23,250.19301
191.0,2025-07-12 14:45:00,series_1,0,248.92688
206.0,2025-07-12 14:50:00,series_1,1,252.79616
190.0,2025-07-12 14:55:00,series_1,2,246.21179
195.0,2025-07-12 15:00:00,series_1,3,241.79146
206.0,2025-07-12 15:05:00,series_1,4,235.6245
212.0,2025-07-12 15:10:00,series_1,5,244.89601
206.0,2025-07-12 15:15:00,series_1,6,241.41408
239.0,2025-07-12 15:20:00,series_1,7,225.03116
227.0,2025-07-12 15:25:00,series_1,8,245.40587
235.0,2025-07-12 15:30:00,series_1,9,245.67975
222.0,2025-07-12 15:35:00,series_1,10,226.81625
232.0,2025-07-12 15:40:00,series_1,11,237.73758
225.0,2025-07-12 15:45:00,series_1,12,224.97119
272.0,2025-07-12 15:50:00,series_1,13,222.97508
278.0,2025-07-12 15:55:00,series_1,14,214.34549
297.0,2025-07-12 16:00:00,series_1,15,214.3487
272.0,2025-07-12 16:05:00,series_1,16,205.4004
334.0,2025-07-12 16:10:00,series_1,17,198.03949
330.0,2025-07-12 16:15:00,series_1,18,198.05276
272.0,2025-07-12 16:20:00,series_1,19,195.87152
242.0,2025-07-12 16:25:00,series_1,20,191.2945
233.0,2025-07-12 16:30:00,series_1,21,194.62013
230.0,2025-07-12 16:35:00,series_1,22,186.25723
228.0,2025-07-12 16:40:00,series_1,23,189.48076
234.0,2025-07-12 16:45:00,series_1,0,256.19748
237.0,2025-07-12 16:50:00,series_1,1,265.1968
242.0,2025-07-12 16:55:00,series_1,2,253.86548
224.0,2025-07-12 17:00:00,series_1,3,271.63443
229.0,2025-07-12 17:05:00,series_1,4,272.5128
232.0,2025-07-12 17:10:00,series_1,5,271.5222
247.0,2025-07-12 17:15:00,series_1,6,260.44638
241.0,2025-07-12 17:20:00,series_1,7,248.79344
229.0,2025-07-12 17:25:00,series_1,8,272.86545
238.0,2025-07-12 17:30:00,series_1,9,275.45206
239.0,2025-07-12 17:35:00,series_1,10,306.18436
268.0,2025-07-12 17:40:00,series_1,11,299.78903
268.0,2025-07-12 17:45:00,series_1,12,304.3704
249.0,2025-07-12 17:50:00,series_1,13,287.76132
261.0,2025-07-12 17:55:00,series_1,14,277.69125
280.0,2025-07-12 18:00:00,series_1,15,294.121
307.0,2025-07-12 18:05:00,series_1,16,316.19296
296.0,2025-07-12 18:10:00,series_1,17,315.7094
314.0,2025-07-12 18:15:00,series_1,18,304.4068
309.0,2025-07-12 18:20:00,series_1,19,342.38037
326.0,2025-07-12 18:25:00,series_1,20,307.92456
329.0,2025-07-12 18:30:00,series_1,21,314.6268
332.0,2025-07-12 18:35:00,series_1,22,312.3776
362.0,2025-07-12 18:40:00,series_1,23,293.86545
331.0,2025-07-12 18:45:00,series_1,0,383.0202
346.0,2025-07-12 18:50:00,series_1,1,404.7147
341.0,2025-07-12 18:55:00,series_1,2,404.51263
361.0,2025-07-12 19:00:00,series_1,3,417.13403
353.0,2025-07-12 19:05:00,series_1,4,425.34277
346.0,2025-07-12 19:10:00,series_1,5,435.01035
385.0,2025-07-12 19:15:00,series_1,6,433.5889
386.0,2025-07-12 19:20:00,series_1,7,444.38
380.0,2025-07-12 19:25:00,series_1,8,451.15955
377.0,2025-07-12 19:30:00,series_1,9,459.1638
390.0,2025-07-12 19:35:00,series_1,10,452.69254
420.0,2025-07-12 19:40:00,series_1,11,455.0696
421.0,2025-07-12 19:45:00,series_1,12,457.67157
449.0,2025-07-12 19:50:00,series_1,13,460.00488
439.0,2025-07-12 19:55:00,series_1,14,464.64777
473.0,2025-07-12 20:00:00,series_1,15,468.0879
440.0,2025-07-12 20:05:00,series_1,16,462.23132
447.0,2025-07-12 20:10:00,series_1,17,467.90588
444.0,2025-07-12 20:15:00,series_1,18,463.83447
455.0,2025-07-12 20:20:00,series_1,19,462.77072
481.0,2025-07-12 20:25:00,series_1,20,466.68304
510.0,2025-07-12 20:30:00,series_1,21,458.35867
525.0,2025-07-12 20:35:00,series_1,22,469.2729
522.0,2025-07-12 20:40:00,series_1,23,457.7318
484.0,2025-07-12 20:45:00,series_1,0,513.2256
483.0,2025-07-12 20:50:00,series_1,1,517.75146
463.0,2025-07-12 20:55:00,series_1,2,531.70526
428.0,2025-07-12 21:00:00,series_1,3,529.8944
419.0,2025-07-12 21:05:00,series_1,4,531.82355
433.0,2025-07-12 21:10:00,series_1,5,527.3296
430.0,2025-07-12 21:15:00,series_1,6,520.1285
386.0,2025-07-12 21:20:00,series_1,7,513.1207
399.0,2025-07-12 21:25:00,series_1,8,475.04462
477.0,2025-07-12 21:30:00,series_1,9,476.284
293.0,2025-07-12 21:35:00,series_1,10,469.6342
290.0,2025-07-12 21:40:00,series_1,11,463.6009
290.0,2025-07-12 21:45:00,series_1,12,440.9417
303.0,2025-07-12 21:50:00,series_1,13,462.1729
323.0,2025-07-12 21:55:00,series_1,14,418.51416
315.0,2025-07-12 22:00:00,series_1,15,388.192
296.0,2025-07-12 22:05:00,series_1,16,428.11398
272.0,2025-07-12 22:10:00,series_1,17,422.4662
277.0,2025-07-12 22:15:00,series_1,18,437.5078
273.0,2025-07-12 22:20:00,series_1,19,445.94836
247.0,2025-07-12 22:25:00,series_1,20,423.6387
238.0,2025-07-12 22:30:00,series_1,21,422.9772
207.0,2025-07-12 22:35:00,series_1,22,400.36533
206.0,2025-07-12 22:40:00,series_1,23,345.98074
194.0,2025-07-12 22:45:00,series_1,0,181.85345
191.0,2025-07-12 22:50:00,series_1,1,155.04207
184.0,2025-07-12 22:55:00,series_1,2,165.62881
163.0,2025-07-12 23:00:00,series_1,3,155.16544
153.0,2025-07-12 23:05:00,series_1,4,152.64919
147.0,2025-07-12 23:10:00,series_1,5,141.6573
149.0,2025-07-12 23:15:00,series_1,6,127.88486
126.0,2025-07-12 23:20:00,series_1,7,81.48053
137.0,2025-07-12 23:25:00,series_1,8,115.22841
134.0,2025-07-12 23:30:00,series_1,9,107.00366
125.0,2025-07-12 23:35:00,series_1,10,120.31734
113.0,2025-07-12 23:40:00,series_1,11,131.2679
105.0,2025-07-12 23:45:00,series_1,12,143.1892
90.0,2025-07-12 23:50:00,series_1,13,147.2113
86.0,2025-07-12 23:55:00,series_1,14,130.94305
97.0,2025-07-13 00:00:00,series_1,15,141.76138
97.0,2025-07-13 00:05:00,series_1,16,115.54794
86.0,2025-07-13 00:10:00,series_1,17,113.60838
73.0,2025-07-13 00:15:00,series_1,18,136.73819
73.0,2025-07-13 00:20:00,series_1,19,125.92882
68.0,2025-07-13 00:25:00,series_1,20,138.78369
67.0,2025-07-13 00:30:00,series_1,21,138.67
65.0,2025-07-13 00:35:00,series_1,22,120.356766
67.0,2025-07-13 00:40:00,series_1,23,94.11676
61.0,2025-07-13 00:45:00,series_1,0,49.042847
63.0,2025-07-13 00:50:00,series_1,1,61.740112
98.0,2025-07-13 00:55:00,series_1,2,39.87372
60.0,2025-07-13 01:00:00,series_1,3,49.72441
88.0,2025-07-13 01:05:00,series_1,4,50.273544
115.0,2025-07-13 01:10:00,series_1,5,46.581802
109.0,2025-07-13 01:15:00,series_1,6,41.23053
114.0,2025-07-13 01:20:00,series_1,7,31.977875
112.0,2025-07-13 01:25:00,series_1,8,36.31932
74.0,2025-07-13 01:30:00,series_1,9,22.591156
47.0,2025-07-13 01:35:00,series_1,10,31.310394
49.0,2025-07-13 01:40:00,series_1,11,24.218353
45.0,2025-07-13 01:45:00,series_1,12,45.57428
46.0,2025-07-13 01:50:00,series_1,13,32.680847
51.0,2025-07-13 01:55:00,series_1,14,39.533096
42.0,2025-07-13 02:00:00,series_1,15,21.8349
51.0,2025-07-13 02:05:00,series_1,16,25.916077
60.0,2025-07-13 02:10:00,series_1,17,21.015625
70.0,2025-07-13 02:15:00,series_1,18,20.936646
83.0,2025-07-13 02:20:00,series_1,19,33.121796
76.0,2025-07-13 02:25:00,series_1,20,17.433838
95.0,2025-07-13 02:30:00,series_1,21,30.362823
66.0,2025-07-13 02:35:00,series_1,22,27.499939
74.0,2025-07-13 02:40:00,series_1,23,16.40216
52.0,2025-07-13 02:45:00,series_1,0,63.630745
70.0,2025-07-13 02:50:00,series_1,1,57.72744
49.0,2025-07-13 02:55:00,series_1,2,67.62842
81.0,2025-07-13 03:00:00,series_1,3,75.8108
86.0,2025-07-13 03:05:00,series_1,4,69.32652
52.0,2025-07-13 03:10:00,series_1,5,89.06505
49.0,2025-07-13 03:15:00,series_1,6,71.51439
52.0,2025-07-13 03:20:00,series_1,7,47.719772
49.0,2025-07-13 03:25:00,series_1,8,58.494774
43.0,2025-07-13 03:30:00,series_1,9,63.591156
37.0,2025-07-13 03:35:00,series_1,10,78.587654
37.0,2025-07-13 03:40:00,series_1,11,80.93367
31.0,2025-07-13 03:45:00,series_1,12,108.30353
34.0,2025-07-13 03:50:00,series_1,13,94.99411
33.0,2025-07-13 03:55:00,series_1,14,113.01655
36.0,2025-07-13 04:00:00,series_1,15,107.9562
41.0,2025-07-13 04:05:00,series_1,16,130.37321
33.0,2025-07-13 04:10:00,series_1,17,131.41264
35.0,2025-07-13 04:15:00,series_1,18,113.834076
38.0,2025-07-13 04:20:00,series_1,19,146.50755
38.0,2025-07-13 04:25:00,series_1,20,176.24982
36.0,2025-07-13 04:30:00,series_1,21,156.70825
59.0,2025-07-13 04:35:00,series_1,22,237.03728
58.0,2025-07-13 04:40:00,series_1,23,159.11296
61.0,2025-07-13 04:45:00,series_1,0,39.611988
57.0,2025-07-13 04:50:00,series_1,1,52.87351
54.0,2025-07-13 04:55:00,series_1,2,45.745537
57.0,2025-07-13 05:00:00,series_1,3,58.18937
63.0,2025-07-13 05:05:00,series_1,4,61.455734
70.0,2025-07-13 05:10:00,series_1,5,65.8593
57.0,2025-07-13 05:15:00,series_1,6,86.50737
79.0,2025-07-13 05:20:00,series_1,7,99.89698
87.0,2025-07-13 05:25:00,series_1,8,104.168396
88.0,2025-07-13 05:30:00,series_1,9,114.27635
105.0,2025-07-13 05:35:00,series_1,10,121.544846
110.0,2025-07-13 05:40:00,series_1,11,134.99794
123.0,2025-07-13 05:45:00,series_1,12,150.49384
147.0,2025-07-13 05:50:00,series_1,13,164.35065
147.0,2025-07-13 05:55:00,series_1,14,190.16403
151.0,2025-07-13 06:00:00,series_1,15,187.6071
169.0,2025-07-13 06:05:00,series_1,16,200.5598
179.0,2025-07-13 06:10:00,series_1,17,189.23697
181.0,2025-07-13 06:15:00,series_1,18,178.84045
192.0,2025-07-13 06:20:00,series_1,19,211.54681
190.0,2025-07-13 06:25:00,series_1,20,176.77039
204.0,2025-07-13 06:30:00,series_1,21,195.2739
189.0,2025-07-13 06:35:00,series_1,22,194.38135
212.0,2025-07-13 06:40:00,series_1,23,174.53009
198.0,2025-07-13 06:45:00,series_1,0,202.57571
202.0,2025-07-13 06:50:00,series_1,1,188.55731
202.0,2025-07-13 06:55:00,series_1,2,208.17966
197.0,2025-07-13 07:00:00,series_1,3,210.58232
266.0,2025-07-13 07:05:00,series_1,4,224.9267
243.0,2025-07-13 07:10:00,series_1,5,217.47691
195.0,2025-07-13 07:15:00,series_1,6,240.5391
200.0,2025-07-13 07:20:00,series_1,7,250.62541
205.0,2025-07-13 07:25:00,series_1,8,248.29004
188.0,2025-07-13 07:30:00,series_1,9,272.70453
192.0,2025-07-13 07:35:00,series_1,10,250.22774
189.0,2025-07-13 07:40:00,series_1,11,271.15576
203.0,2025-07-13 07:45:00,series_1,12,257.5395
206.0,2025-07-13 07:50:00,series_1,13,269.17535
217.0,2025-07-13 07:55:00,series_1,14,261.62036
226.0,2025-07-13 08:00:00,series_1,15,279.84985
209.0,2025-07-13 08:05:00,series_1,16,260.1101
200.0,2025-07-13 08:10:00,series_1,17,271.71387
190.0,2025-07-13 08:15:00,series_1,18,270.0777
207.0,2025-07-13 08:20:00,series_1,19,267.9926
205.0,2025-07-13 08:25:00,series_1,20,268.70526
210.0,2025-07-13 08:30:00,series_1,21,254.83635
205.0,2025-07-13 08:35:00,series_1,22,240.17754
212.0,2025-07-13 08:40:00,series_1,23,221.96335
225.0,2025-07-13 08:45:00,series_1,0,210.66174
215.0,2025-07-13 08:50:00,series_1,1,219.81503
217.0,2025-07-13 08:55:00,series_1,2,229.51149
207.0,2025-07-13 09:00:00,series_1,3,207.46585
221.0,2025-07-13 09:05:00,series_1,4,195.9575
196.0,2025-07-13 09:10:00,series_1,5,201.94778
229.0,2025-07-13 09:15:00,series_1,6,173.69873
207.0,2025-07-13 09:20:00,series_1,7,161.75278
217.0,2025-07-13 09:25:00,series_1,8,219.21182
219.0,2025-07-13 09:30:00,series_1,9,218.78699
229.0,2025-07-13 09:35:00,series_1,10,199.5928
250.0,2025-07-13 09:40:00,series_1,11,206.80402
242.0,2025-07-13 09:45:00,series_1,12,189.49615
223.0,2025-07-13 09:50:00,series_1,13,202.24133
235.0,2025-07-13 09:55:00,series_1,14,190.83194
240.0,2025-07-13 10:00:00,series_1,15,207.21748
232.0,2025-07-13 10:05:00,series_1,16,140.35323
237.0,2025-07-13 10:10:00,series_1,17,159.2473
232.0,2025-07-13 10:15:00,series_1,18,155.98788
277.0,2025-07-13 10:20:00,series_1,19,134.72731
232.0,2025-07-13 10:25:00,series_1,20,135.85497
244.0,2025-07-13 10:30:00,series_1,21,128.25395
245.0,2025-07-13 10:35:00,series_1,22,113.227974
258.0,2025-07-13 10:40:00,series_1,23,117.68657
257.0,2025-07-13 10:45:00,series_1,0,264.04233
249.0,2025-07-13 10:50:00,series_1,1,275.32828
259.0,2025-07-13 10:55:00,series_1,2,272.47607
244.0,2025-07-13 11:00:00,series_1,3,277.404
265.0,2025-07-13 11:05:00,series_1,4,273.36124
276.0,2025-07-13 11:10:00,series_1,5,279.72757
289.0,2025-07-13 11:15:00,series_1,6,284.86523
292.0,2025-07-13 11:20:00,series_1,7,299.48895
272.0,2025-07-13 11:25:00,series_1,8,273.01538
279.0,2025-07-13 11:30:00,series_1,9,269.23776
291.0,2025-07-13 11:35:00,series_1,10,279.84897
286.0,2025-07-13 11:40:00,series_1,11,277.82736
255.0,2025-07-13 11:45:00,series_1,12,282.91446
267.0,2025-07-13 11:50:00,series_1,13,283.77417
270.0,2025-07-13 11:55:00,series_1,14,278.3974
276.0,2025-07-13 12:00:00,series_1,15,277.15845
270.0,2025-07-13 12:05:00,series_1,16,264.9669
280.0,2025-07-13 12:10:00,series_1,17,284.98364
280.0,2025-07-13 12:15:00,series_1,18,281.64948
261.0,2025-07-13 12:20:00,series_1,19,291.37808
265.0,2025-07-13 12:25:00,series_1,20,286.8247
299.0,2025-07-13 12:30:00,series_1,21,293.16388
304.0,2025-07-13 12:35:00,series_1,22,274.2965
304.0,2025-07-13 12:40:00,series_1,23,279.2084
291.0,2025-07-13 12:45:00,series_1,0,305.92938
308.0,2025-07-13 12:50:00,series_1,1,310.1161
295.0,2025-07-13 12:55:00,series_1,2,312.5503
302.0,2025-07-13 13:00:00,series_1,3,308.13913
317.0,2025-07-13 13:05:00,series_1,4,312.06793
295.0,2025-07-13 13:10:00,series_1,5,307.44916
303.0,2025-07-13 13:15:00,series_1,6,304.5186
296.0,2025-07-13 13:20:00,series_1,7,302.1107
275.0,2025-07-13 13:25:00,series_1,8,305.34406
262.0,2025-07-13 13:30:00,series_1,9,305.69495
257.0,2025-07-13 13:35:00,series_1,10,303.05585
272.0,2025-07-13 13:40:00,series_1,11,301.79767
283.0,2025-07-13 13:45:00,series_1,12,297.57516
258.0,2025-07-13 13:50:00,series_1,13,295.25043
278.0,2025-07-13 13:55:00,series_1,14,285.8287
248.0,2025-07-13 14:00:00,series_1,15,283.919
250.0,2025-07-13 14:05:00,series_1,16,273.46225
236.0,2025-07-13 14:10:00,series_1,17,281.4569
259.0,2025-07-13 14:15:00,series_1,18,278.75085
219.0,2025-07-13 14:20:00,series_1,19,264.90442
216.0,2025-07-13 14:25:00,series_1,20,271.1582
229.0,2025-07-13 14:30:00,series_1,21,266.99197
221.0,2025-07-13 14:35:00,series_1,22,262.54712
232.0,2025-07-13 14:40:00,series_1,23,272.07086
233.0,2025-07-13 14:45:00,series_1,0,209.82918
228.0,2025-07-13 14:50:00,series_1,1,211.31508
240.0,2025-07-13 14:55:00,series_1,2,212.07304
223.0,2025-07-13 15:00:00,series_1,3,210.86765
256.0,2025-07-13 15:05:00,series_1,4,209.40651
267.0,2025-07-13 15:10:00,series_1,5,220.5729
242.0,2025-07-13 15:15:00,series_1,6,214.67688
224.0,2025-07-13 15:20:00,series_1,7,224.69754
234.0,2025-07-13 15:25:00,series_1,8,203.17291
238.0,2025-07-13 15:30:00,series_1,9,210.8205
80.0,2025-07-13 15:35:00,series_1,10,205.21687
87.0,2025-07-13 15:40:00,series_1,11,202.16203
171.0,2025-07-13 15:45:00,series_1,12,199.76086
174.0,2025-07-13 15:50:00,series_1,13,197.94609
197.0,2025-07-13 15:55:00,series_1,14,197.583
187.0,2025-07-13 16:00:00,series_1,15,196.8309
187.0,2025-07-13 16:05:00,series_1,16,194.89407
205.0,2025-07-13 16:10:00,series_1,17,195.13536
201.0,2025-07-13 16:15:00,series_1,18,196.82324
